iteration internal-T external-T loop-time(ms) wall-time(ms)
528 278.572 260 9.47958 5944
529 278.554 260 9.49385 5955
530 278.536 260 9.52469 5966
531 278.518 260 9.44844 5978
532 278.499 260 9.50609 5989
533 278.481 260 9.50708 6000
534 278.463 260 9.52823 6011
535 278.445 260 9.46276 6023
536 278.427 260 9.52375 6034
537 278.409 260 9.50849 6045
538 278.391 260 9.49646 6056
539 278.373 260 9.48911 6068
540 278.355 260 9.5075 6079
541 278.337 260 9.48932 6090
542 278.319 260 9.50891 6101
543 278.301 260 9.48891 6112
544 278.283 260 9.48094 6124
545 278.265 260 9.48464 6135
546 278.248 260 9.51417 6146
547 278.23 260 9.49229 6157
548 278.212 260 9.53052 6169
549 278.194 260 9.48818 6180
550 278.177 260 9.51333 6191
551 278.159 260 9.48359 6202
552 278.141 260 9.48464 6214
553 278.124 260 9.50417 6225
554 278.106 260 9.49927 6236
555 278.089 260 9.48057 6247
556 278.071 260 9.48854 6258
557 278.053 260 9.48208 6270
558 278.036 260 9.5251 6281
559 278.019 260 9.50156 6292
560 278.001 260 9.52167 6303
561 277.984 260 9.50271 6315
562 277.966 260 9.51693 6326
563 277.949 260 9.46443 6337
564 277.932 260 9.50115 6348
565 277.914 260 9.49073 6360
566 277.897 260 9.50953 6371
567 277.88 260 9.49714 6382
568 277.863 260 9.48036 6393
569 277.845 260 9.43557 6404
570 277.828 260 9.50958 6416
571 277.811 260 9.49917 6427
572 277.794 260 9.48417 6438
573 277.777 260 9.46136 6449
574 277.76 260 9.47781 6461
575 277.743 260 9.49828 6472
576 277.726 260 9.48599 6483
577 277.709 260 9.48406 6494
578 277.692 260 9.5062 6506
579 277.675 260 9.4787 6517
580 277.658 260 9.50318 6528
581 277.641 260 9.47838 6539
582 277.624 260 9.47911 6550
583 277.607 260 9.51734 6562
584 277.591 260 9.56703 6573
585 277.574 260 9.54266 6584
586 277.557 260 9.52385 6596
587 277.54 260 9.50375 6607
588 277.524 260 9.51109 6618
589 277.507 260 9.54557 6630
590 277.49 260 9.5101 6641
591 277.474 260 9.50151 6652
592 277.457 260 9.51219 6663
593 277.441 260 9.48438 6675
594 277.424 260 9.51057 6686
595 277.407 260 9.4725 6697
596 277.391 260 9.51307 6708
597 277.374 260 9.50724 6720
598 277.358 260 9.50714 6731
599 277.342 260 9.47969 6742
600 277.325 260 9.51115 6753
601 277.309 260 9.53969 6765
602 277.292 260 9.51354 6776
603 277.276 260 9.51885 6787
604 277.26 260 9.51651 6799
605 277.243 260 9.49969 6810
606 277.227 260 9.54005 6821
607 277.211 260 9.52932 6832
608 277.195 260 9.49479 6844
609 277.178 260 9.50042 6855
610 277.162 260 9.4963 6866
611 277.146 260 9.52365 6877
612 277.13 260 9.48797 6888
613 277.114 260 9.49938 6900
614 277.098 260 9.51849 6911
615 277.082 260 9.4812 6922
